type,size,layers,bp,bt
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
forward,3,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,3.5,240
